Image Name,Channel,Well Name,Total,ICW Type,ICW Relative,ICW % Response
0000178_02,700,A01,15465.39355,Sample,5597.073796,#NUM!
0000178_02,800,A01,9635.990234,Sample,6352.29891,#NUM!
0000178_02,700,A02,7652.03125,Sample,1093.440299,#NUM!
0000178_02,800,A02,4697.087891,Sample,3617.246208,#NUM!
0000178_02,700,A03,13784.39355,Sample,9181.293164,#NUM!
0000178_02,800,A03,8407.989258,Sample,8103.062939,#NUM!
0000178_02,700,A04,16168.62109,Sample,9955.842969,#NUM!
0000178_02,800,A04,9433.128906,Sample,8003.885205,#NUM!
0000178_02,700,A05,27015.86133,Sample,19268.10876,#NUM!
0000178_02,800,A05,16843.78125,Sample,12908.92931,#NUM!
0000178_02,700,A06,13891.82031,Sample,14043.92028,#NUM!
0000178_02,800,A06,5981.162598,Sample,6651.974723,#NUM!
0000178_02,700,A07,13105.04297,Sample,17706.02965,#NUM!
0000178_02,800,A07,6305.269531,Sample,6118.931999,#NUM!
0000178_02,700,A08,16127.2002,Sample,27325.99596,#NUM!
0000178_02,800,A08,7517.520996,Sample,8118.180371,#NUM!
0000178_02,700,A09,#NUM!,None,0,#NUM!
0000178_02,800,A09,#NUM!,None,0,#NUM!
0000178_02,700,A10,#NUM!,None,0,#NUM!
0000178_02,800,A10,#NUM!,None,0,#NUM!
0000178_02,700,A11,#NUM!,None,0,#NUM!
0000178_02,800,A11,#NUM!,None,0,#NUM!
0000178_02,700,A12,#NUM!,None,0,#NUM!
0000178_02,800,A12,#NUM!,None,0,#NUM!
0000178_02,700,B01,16647.76172,Sample,5597.073796,#NUM!
0000178_02,800,B01,11581.45508,Sample,6352.29891,#NUM!
0000178_02,700,B02,14517.77148,Sample,1093.440299,#NUM!
0000178_02,800,B02,10480.58984,Sample,3617.246208,#NUM!
0000178_02,700,B03,20101.21875,Sample,9181.293164,#NUM!
0000178_02,800,B03,12758.91699,Sample,8103.062939,#NUM!
0000178_02,700,B04,14597.75098,Sample,9955.842969,#NUM!
0000178_02,800,B04,8741.665039,Sample,8003.885205,#NUM!
0000178_02,700,B05,25855.4043,Sample,19268.10876,#NUM!
0000178_02,800,B05,15706.66504,Sample,12908.92931,#NUM!
0000178_02,700,B06,16706.54883,Sample,14043.92028,#NUM!
0000178_02,800,B06,6939.608887,Sample,6651.974723,#NUM!
0000178_02,700,B07,16381.93359,Sample,17706.02965,#NUM!
0000178_02,800,B07,7516.550293,Sample,6118.931999,#NUM!
0000178_02,700,B08,21564.25977,Sample,27325.99596,#NUM!
0000178_02,800,B08,9531.894531,Sample,8118.180371,#NUM!
0000178_02,700,B09,#NUM!,None,0,#NUM!
0000178_02,800,B09,#NUM!,None,0,#NUM!
0000178_02,700,B10,#NUM!,None,0,#NUM!
0000178_02,800,B10,#NUM!,None,0,#NUM!
0000178_02,700,B11,#NUM!,None,0,#NUM!
0000178_02,800,B11,#NUM!,None,0,#NUM!
0000178_02,700,B12,#NUM!,None,0,#NUM!
0000178_02,800,B12,#NUM!,None,0,#NUM!
0000178_02,700,C01,16040.53027,Sample,5597.073796,#NUM!
0000178_02,800,C01,11648.16016,Sample,6352.29891,#NUM!
0000178_02,700,C02,11791.62598,Sample,1093.440299,#NUM!
0000178_02,800,C02,8757.732422,Sample,3617.246208,#NUM!
0000178_02,700,C03,21074.6875,Sample,9181.293164,#NUM!
0000178_02,800,C03,13983.37598,Sample,8103.062939,#NUM!
0000178_02,700,C04,27447.01172,Sample,9955.842969,#NUM!
0000178_02,800,C04,18515.10156,Sample,8003.885205,#NUM!
0000178_02,700,C05,38517.27344,Sample,19268.10876,#NUM!
0000178_02,800,C05,23060.08203,Sample,12908.92931,#NUM!
0000178_02,700,C06,28604.36133,Sample,14043.92028,#NUM!
0000178_02,800,C06,17186.39844,Sample,6651.974723,#NUM!
0000178_02,700,C07,29262.03125,Sample,17706.02965,#NUM!
0000178_02,800,C07,13434.71777,Sample,6118.931999,#NUM!
0000178_02,700,C08,42341.40234,Sample,27325.99596,#NUM!
0000178_02,800,C08,15653.4043,Sample,8118.180371,#NUM!
0000178_02,700,C09,#NUM!,None,0,#NUM!
0000178_02,800,C09,#NUM!,None,0,#NUM!
0000178_02,700,C10,#NUM!,None,0,#NUM!
0000178_02,800,C10,#NUM!,None,0,#NUM!
0000178_02,700,C11,#NUM!,None,0,#NUM!
0000178_02,800,C11,#NUM!,None,0,#NUM!
0000178_02,700,C12,#NUM!,None,0,#NUM!
0000178_02,800,C12,#NUM!,None,0,#NUM!
0000178_02,700,D01,19202.19141,Sample,5597.073796,#NUM!
0000178_02,800,D01,14276.40723,Sample,6352.29891,#NUM!
0000178_02,700,D02,10980.4707,Sample,1093.440299,#NUM!
0000178_02,800,D02,8576.975586,Sample,3617.246208,#NUM!
0000178_02,700,D03,30881.55469,Sample,9181.293164,#NUM!
0000178_02,800,D03,21957.18555,Sample,8103.062939,#NUM!
0000178_02,700,D04,21500.08398,Sample,9955.842969,#NUM!
0000178_02,800,D04,14239.94629,Sample,8003.885205,#NUM!
0000178_02,700,D05,32032.02539,Sample,19268.10876,#NUM!
0000178_02,800,D05,18513.2207,Sample,12908.92931,#NUM!
0000178_02,700,D06,28492.71094,Sample,14043.92028,#NUM!
0000178_02,800,D06,12089.44043,Sample,6651.974723,#NUM!
0000178_02,700,D07,38640.22656,Sample,17706.02965,#NUM!
0000178_02,800,D07,13196.00977,Sample,6118.931999,#NUM!
0000178_02,700,D08,55526.06641,Sample,27325.99596,#NUM!
0000178_02,800,D08,17491.52148,Sample,8118.180371,#NUM!
0000178_02,700,D09,#NUM!,None,0,#NUM!
0000178_02,800,D09,#NUM!,None,0,#NUM!
0000178_02,700,D10,#NUM!,None,0,#NUM!
0000178_02,800,D10,#NUM!,None,0,#NUM!
0000178_02,700,D11,#NUM!,None,0,#NUM!
0000178_02,800,D11,#NUM!,None,0,#NUM!
0000178_02,700,D12,#NUM!,None,0,#NUM!
0000178_02,800,D12,#NUM!,None,0,#NUM!
0000178_02,700,E01,12911.11621,Sample,5597.073796,#NUM!
0000178_02,800,E01,9589.172852,Sample,6352.29891,#NUM!
0000178_02,700,E02,10989.97852,Sample,1093.440299,#NUM!
0000178_02,800,E02,9574.299805,Sample,3617.246208,#NUM!
0000178_02,700,E03,15637.50195,Sample,9181.293164,#NUM!
0000178_02,800,E03,10745.11426,Sample,8103.062939,#NUM!
0000178_02,700,E04,20248.88477,Sample,9955.842969,#NUM!
0000178_02,800,E04,12717.35645,Sample,8003.885205,#NUM!
0000178_02,700,E05,35792.85156,Sample,19268.10876,#NUM!
0000178_02,800,E05,21825.46094,Sample,12908.92931,#NUM!
0000178_02,700,E06,29163.61328,Sample,14043.92028,#NUM!
0000178_02,800,E06,12229.30566,Sample,6651.974723,#NUM!
0000178_02,700,E07,43587.02344,Sample,17706.02965,#NUM!
0000178_02,800,E07,15454.19629,Sample,6118.931999,#NUM!
0000178_02,700,E08,50844.87891,Sample,27325.99596,#NUM!
0000178_02,800,E08,17072.31836,Sample,8118.180371,#NUM!
0000178_02,700,E09,#NUM!,None,0,#NUM!
0000178_02,800,E09,#NUM!,None,0,#NUM!
0000178_02,700,E10,#NUM!,None,0,#NUM!
0000178_02,800,E10,#NUM!,None,0,#NUM!
0000178_02,700,E11,#NUM!,None,0,#NUM!
0000178_02,800,E11,#NUM!,None,0,#NUM!
0000178_02,700,E12,#NUM!,None,0,#NUM!
0000178_02,800,E12,#NUM!,None,0,#NUM!
0000178_02,700,F01,6999.025391,Background,0,#NUM!
0000178_02,800,F01,3124.731201,Background,0,#NUM!
0000178_02,700,F02,13366.71289,Sample,1093.440299,#NUM!
0000178_02,800,F02,9580.420898,Sample,3617.246208,#NUM!
0000178_02,700,F03,16346.35156,Sample,9181.293164,#NUM!
0000178_02,800,F03,10729.4248,Sample,8103.062939,#NUM!
0000178_02,700,F04,22510.6543,Sample,9955.842969,#NUM!
0000178_02,800,F04,14339.74219,Sample,8003.885205,#NUM!
0000178_02,700,F05,19133.18555,Sample,19268.10876,#NUM!
0000178_02,800,F05,11467.99512,Sample,12908.92931,#NUM!
0000178_02,700,F06,30142.41602,Sample,14043.92028,#NUM!
0000178_02,800,F06,15449.56152,Sample,6651.974723,#NUM!
0000178_02,700,F07,27997.86914,Sample,17706.02965,#NUM!
0000178_02,800,F07,10770.47754,Sample,6118.931999,#NUM!
0000178_02,700,F08,40290.11719,Sample,27325.99596,#NUM!
0000178_02,800,F08,11406.05176,Sample,8118.180371,#NUM!
0000178_02,700,F09,#NUM!,None,0,#NUM!
0000178_02,800,F09,#NUM!,None,0,#NUM!
0000178_02,700,F10,#NUM!,None,0,#NUM!
0000178_02,800,F10,#NUM!,None,0,#NUM!
0000178_02,700,F11,#NUM!,None,0,#NUM!
0000178_02,800,F11,#NUM!,None,0,#NUM!
0000178_02,700,F12,#NUM!,None,0,#NUM!
0000178_02,800,F12,#NUM!,None,0,#NUM!
0000178_02,700,G01,2112.880859,None,0,#NUM!
0000178_02,800,G01,529.689209,None,0,#NUM!
0000178_02,700,G02,8478.392578,Background,0,#NUM!
0000178_02,800,G02,4597.330566,Background,0,#NUM!
0000178_02,700,G03,9775.87207,Background,0,#NUM!
0000178_02,800,G03,5424.653809,Background,0,#NUM!
0000178_02,700,G04,10508.24316,Background,0,#NUM!
0000178_02,800,G04,5713.899414,Background,0,#NUM!
0000178_02,700,G05,5585.15332,Background,0,#NUM!
0000178_02,800,G05,2889.239258,Background,0,#NUM!
0000178_02,700,G06,10727.49707,Background,0,#NUM!
0000178_02,800,G06,5558.324219,Background,0,#NUM!
0000178_02,700,G07,7187.921875,Background,0,#NUM!
0000178_02,800,G07,3454.536621,Background,0,#NUM!
0000178_02,700,G08,7730.051758,Background,0,#NUM!
0000178_02,800,G08,4061.511475,Background,0,#NUM!
0000178_02,700,G09,#NUM!,None,0,#NUM!
0000178_02,800,G09,#NUM!,None,0,#NUM!
0000178_02,700,G10,#NUM!,None,0,#NUM!
0000178_02,800,G10,#NUM!,None,0,#NUM!
0000178_02,700,G11,#NUM!,None,0,#NUM!
0000178_02,800,G11,#NUM!,None,0,#NUM!
0000178_02,700,G12,#NUM!,None,0,#NUM!
0000178_02,800,G12,#NUM!,None,0,#NUM!
0000178_02,700,H01,2199.704346,None,0,#NUM!
0000178_02,800,H01,498.7384949,None,0,#NUM!
0000178_02,700,H02,16694.7793,None,0,#NUM!
0000178_02,800,H02,7913.152344,None,0,#NUM!
0000178_02,700,H03,18057.58008,Background,0,#NUM!
0000178_02,800,H03,8022.705566,Background,0,#NUM!
0000178_02,700,H04,8733.527344,Background,0,#NUM!
0000178_02,800,H04,3810.399902,Background,0,#NUM!
0000178_02,700,H05,7976.385254,Background,0,#NUM!
0000178_02,800,H05,3272.270264,Background,0,#NUM!
0000178_02,700,H06,15030.8252,Background,0,#NUM!
0000178_02,800,H06,6673.582031,Background,0,#NUM!
0000178_02,700,H07,4456.133789,Background,0,#NUM!
0000178_02,800,H07,1591.895508,Background,0,#NUM!
0000178_02,700,H08,18903.48438,Background,0,#NUM!
0000178_02,800,H08,8800.84082,Background,0,#NUM!
0000178_02,700,H09,#NUM!,None,0,#NUM!
0000178_02,800,H09,#NUM!,None,0,#NUM!
0000178_02,700,H10,#NUM!,None,0,#NUM!
0000178_02,800,H10,#NUM!,None,0,#NUM!
0000178_02,700,H11,#NUM!,None,0,#NUM!
0000178_02,800,H11,#NUM!,None,0,#NUM!
0000178_02,700,H12,#NUM!,None,0,#NUM!
0000178_02,800,H12,#NUM!,None,0,#NUM!
