Image Name,Channel,Well Name,Total,ICW Type,ICW Relative,ICW % Response
0000188_02,700,A01,5193.78125,Sample,5662.653483,#NUM!
0000188_02,800,A01,12008.2998,Sample,20013.67708,#NUM!
0000188_02,700,A02,5035.665527,Sample,5944.003743,#NUM!
0000188_02,800,A02,7431.49707,Sample,9174.698405,#NUM!
0000188_02,700,A03,5422.634277,Sample,5476.103841,#NUM!
0000188_02,800,A03,8091.802246,Sample,7864.480306,#NUM!
0000188_02,700,A04,6404.910645,Sample,5838.797689,#NUM!
0000188_02,800,A04,8797.303711,Sample,7616.17985,#NUM!
0000188_02,700,A05,7657.273926,Sample,7377.725586,#NUM!
0000188_02,800,A05,7841.503906,Sample,7936.937663,#NUM!
0000188_02,700,A06,9083.740234,Sample,8388.108561,#NUM!
0000188_02,800,A06,6179.844727,Sample,6815.661784,#NUM!
0000188_02,700,A07,8373.706055,Sample,8587.253255,#NUM!
0000188_02,800,A07,7141.762695,Sample,8044.736165,#NUM!
0000188_02,700,A08,7843.655273,Sample,8873.672201,#NUM!
0000188_02,800,A08,4163.818359,Sample,6388.542155,#NUM!
0000188_02,700,A09,9208.307617,Sample,11884.92285,#NUM!
0000188_02,800,A09,5566.365723,Sample,7465.05306,#NUM!
0000188_02,700,A10,12248.49512,Sample,11430.90788,#NUM!
0000188_02,800,A10,7255.594727,Sample,7006.092285,#NUM!
0000188_02,700,A11,13589.05566,Sample,13913.11849,#NUM!
0000188_02,800,A11,8328.200195,Sample,8645.369954,#NUM!
0000188_02,700,A12,17751.28516,Sample,18197.59766,#NUM!
0000188_02,800,A12,11630.78125,Sample,12356.02409,#NUM!
0000188_02,700,B01,5532.28418,Sample,5662.653483,#NUM!
0000188_02,800,B01,36500.08984,Sample,20013.67708,#NUM!
0000188_02,700,B02,5642.729492,Sample,5944.003743,#NUM!
0000188_02,800,B02,7345.584473,Sample,9174.698405,#NUM!
0000188_02,700,B03,5273.188477,Sample,5476.103841,#NUM!
0000188_02,800,B03,7233.289063,Sample,7864.480306,#NUM!
0000188_02,700,B04,5025.216309,Sample,5838.797689,#NUM!
0000188_02,800,B04,6346.256348,Sample,7616.17985,#NUM!
0000188_02,700,B05,6282.074707,Sample,7377.725586,#NUM!
0000188_02,800,B05,6446.773926,Sample,7936.937663,#NUM!
0000188_02,700,B06,6609.491699,Sample,8388.108561,#NUM!
0000188_02,800,B06,5254.085938,Sample,6815.661784,#NUM!
0000188_02,700,B07,8767.700195,Sample,8587.253255,#NUM!
0000188_02,800,B07,7369.091309,Sample,8044.736165,#NUM!
0000188_02,700,B08,9487.6875,Sample,8873.672201,#NUM!
0000188_02,800,B08,7476.834961,Sample,6388.542155,#NUM!
0000188_02,700,B09,11287.73926,Sample,11884.92285,#NUM!
0000188_02,800,B09,7401.749512,Sample,7465.05306,#NUM!
0000188_02,700,B10,10904.33008,Sample,11430.90788,#NUM!
0000188_02,800,B10,6581.680664,Sample,7006.092285,#NUM!
0000188_02,700,B11,13315.51367,Sample,13913.11849,#NUM!
0000188_02,800,B11,7896.564941,Sample,8645.369954,#NUM!
0000188_02,700,B12,16388.39648,Sample,18197.59766,#NUM!
0000188_02,800,B12,11315.66113,Sample,12356.02409,#NUM!
0000188_02,700,C01,6261.89502,Sample,5662.653483,#NUM!
0000188_02,800,C01,11532.6416,Sample,20013.67708,#NUM!
0000188_02,700,C02,7153.616211,Sample,5944.003743,#NUM!
0000188_02,800,C02,12747.01367,Sample,9174.698405,#NUM!
0000188_02,700,C03,5732.48877,Sample,5476.103841,#NUM!
0000188_02,800,C03,8268.349609,Sample,7864.480306,#NUM!
0000188_02,700,C04,6086.266113,Sample,5838.797689,#NUM!
0000188_02,800,C04,7704.979492,Sample,7616.17985,#NUM!
