Image Name,Channel,Well Name,Total,ICW Type,ICW Relative,ICW % Response
0000191_02,700,A01,5229.631836,Sample,-4620.055101,#NUM!
0000191_02,800,A01,5449.36084,Sample,-835.9475958,#NUM!
0000191_02,700,A02,7690.040039,Sample,-3059.909105,#NUM!
0000191_02,800,A02,5773.958984,Sample,-1025.038904,#NUM!
0000191_02,700,A03,12515.46875,Sample,479.6210061,#NUM!
0000191_02,800,A03,7786.428223,Sample,-56.57861798,#NUM!
0000191_02,700,A04,13491.45801,Sample,3164.475824,#NUM!
0000191_02,800,A04,6910.683105,Sample,654.901688,#NUM!
0000191_02,700,A05,33117.38672,Sample,23201.885,#NUM!
0000191_02,800,A05,27193.84766,Sample,18076.69075,#NUM!
0000191_02,700,A06,23395.8125,Sample,16220.68644,#NUM!
0000191_02,800,A06,12682.9043,Sample,9029.240555,#NUM!
0000191_02,700,A07,30516.28516,Sample,23073.81209,#NUM!
0000191_02,800,A07,20374.11914,Sample,16125.12174,#NUM!
0000191_02,700,A08,46161.36328,Sample,38226.52823,#NUM!
0000191_02,800,A08,37415.28125,Sample,31572.86393,#NUM!
0000191_02,700,A09,50655.76563,Sample,37771.77823,#NUM!
0000191_02,800,A09,51508.07422,Sample,38821.45247,#NUM!
0000191_02,700,A10,47453.60547,Sample,35115.34464,#NUM!
0000191_02,800,A10,20708.98633,Sample,13161.5664,#NUM!
0000191_02,700,A11,33059.27734,Sample,19746.40844,#NUM!
0000191_02,800,A11,22795.41211,Sample,14505.43815,#NUM!
0000191_02,700,A12,#NUM!,None,0,#NUM!
0000191_02,800,A12,#NUM!,None,0,#NUM!
0000191_02,700,B01,5779.229492,Sample,-4620.055101,#NUM!
0000191_02,800,B01,6462.555176,Sample,-835.9475958,#NUM!
0000191_02,700,B02,6176.527832,Sample,-3059.909105,#NUM!
0000191_02,800,B02,4988.50293,Sample,-1025.038904,#NUM!
0000191_02,700,B03,9842.558594,Sample,479.6210061,#NUM!
0000191_02,800,B03,4985.79541,Sample,-56.57861798,#NUM!
0000191_02,700,B04,14125.80469,Sample,3164.475824,#NUM!
0000191_02,800,B04,8507.268555,Sample,654.901688,#NUM!
0000191_02,700,B05,33539.99609,Sample,23201.885,#NUM!
0000191_02,800,B05,23827.91016,Sample,18076.69075,#NUM!
0000191_02,700,B06,27460.96875,Sample,16220.68644,#NUM!
0000191_02,800,B06,16004.81738,Sample,9029.240555,#NUM!
0000191_02,700,B07,35853.19531,Sample,23073.81209,#NUM!
0000191_02,800,B07,23944.08203,Sample,16125.12174,#NUM!
0000191_02,700,B08,42733.78906,Sample,38226.52823,#NUM!
0000191_02,800,B08,34866.875,Sample,31572.86393,#NUM!
0000191_02,700,B09,50827.98438,Sample,37771.77823,#NUM!
0000191_02,800,B09,46129.87109,Sample,38821.45247,#NUM!
0000191_02,700,B10,46946.78906,Sample,35115.34464,#NUM!
0000191_02,800,B10,18073.02539,Sample,13161.5664,#NUM!
0000191_02,700,B11,30437.9082,Sample,19746.40844,#NUM!
0000191_02,800,B11,22405.24023,Sample,14505.43815,#NUM!
0000191_02,700,B12,#NUM!,None,0,#NUM!
0000191_02,800,B12,#NUM!,None,0,#NUM!
0000191_02,700,C01,5263.583984,Sample,-4620.055101,#NUM!
0000191_02,800,C01,4339.52832,Sample,-835.9475958,#NUM!
0000191_02,700,C02,7086.31543,Sample,-3059.909105,#NUM!
0000191_02,800,C02,4921.708496,Sample,-1025.038904,#NUM!
0000191_02,700,C03,9213.446289,Sample,479.6210061,#NUM!
0000191_02,800,C03,5817.327637,Sample,-56.57861798,#NUM!
0000191_02,700,C04,12008.77539,Sample,3164.475824,#NUM!
0000191_02,800,C04,5306.040527,Sample,654.901688,#NUM!
0000191_02,700,C05,33080.88281,Sample,23201.885,#NUM!
0000191_02,800,C05,21967.60156,Sample,18076.69075,#NUM!
0000191_02,700,C06,27937.88867,Sample,16220.68644,#NUM!
0000191_02,800,C06,17159.28711,Sample,9029.240555,#NUM!
0000191_02,700,C07,32984.56641,Sample,23073.81209,#NUM!
0000191_02,800,C07,22816.45117,Sample,16125.12174,#NUM!
0000191_02,700,C08,55917.04297,Sample,38226.52823,#NUM!
0000191_02,800,C08,41195.72266,Sample,31572.86393,#NUM!
0000191_02,700,C09,41964.19531,Sample,37771.77823,#NUM!
0000191_02,800,C09,37585.69922,Sample,38821.45247,#NUM!
0000191_02,700,C10,41078.25,Sample,35115.34464,#NUM!
0000191_02,800,C10,19461.97461,Sample,13161.5664,#NUM!
0000191_02,700,C11,25874.65039,Sample,19746.40844,#NUM!
0000191_02,800,C11,17074.94922,Sample,14505.43815,#NUM!
0000191_02,700,C12,#NUM!,None,0,#NUM!
0000191_02,800,C12,#NUM!,None,0,#NUM!
0000191_02,700,D01,4104.255859,Background,0,#NUM!
0000191_02,800,D01,2812.97876,Background,0,#NUM!
0000191_02,700,D02,3689.765381,Background,0,#NUM!
0000191_02,800,D02,1832.958984,Background,0,#NUM!
0000191_02,700,D03,3945.087891,Background,0,#NUM!
0000191_02,800,D03,2965.495605,Background,0,#NUM!
0000191_02,700,D04,4013.170654,Background,0,#NUM!
0000191_02,800,D04,2496.757568,Background,0,#NUM!
0000191_02,700,D05,10664.64844,Background,0,#NUM!
0000191_02,800,D05,8029.564941,Background,0,#NUM!
0000191_02,700,D06,9221.177734,Background,0,#NUM!
0000191_02,800,D06,5172.752441,Background,0,#NUM!
0000191_02,700,D07,14695.21191,Background,0,#NUM!
0000191_02,800,D07,14050.38184,Background,0,#NUM!
0000191_02,700,D08,24611.00391,Background,0,#NUM!
0000191_02,800,D08,19913.77734,Background,0,#NUM!
0000191_02,700,D09,10697.7959,Background,0,#NUM!
0000191_02,800,D09,13127.83398,Background,0,#NUM!
0000191_02,700,D10,4795.832031,Background,0,#NUM!
0000191_02,800,D10,3176.755859,Background,0,#NUM!
0000191_02,700,D11,3154.768066,Background,0,#NUM!
0000191_02,800,D11,2875.418701,Background,0,#NUM!
0000191_02,700,D12,#NUM!,None,0,#NUM!
0000191_02,800,D12,#NUM!,None,0,#NUM!
0000191_02,700,E01,1529.046631,None,0,#NUM!
0000191_02,800,E01,305.4485779,None,0,#NUM!
0000191_02,700,E02,1449.812744,None,0,#NUM!
0000191_02,800,E02,308.566803,None,0,#NUM!
0000191_02,700,E03,1481.885498,None,0,#NUM!
0000191_02,800,E03,307.9157715,None,0,#NUM!
0000191_02,700,E04,1582.956787,None,0,#NUM!
0000191_02,800,E04,323.8060608,None,0,#NUM!
0000191_02,700,E05,5907.283691,Background,0,#NUM!
0000191_02,800,E05,4456.287109,Background,0,#NUM!
0000191_02,700,E06,1692.39502,None,0,#NUM!
0000191_02,800,E06,364.9396362,None,0,#NUM!
0000191_02,700,E07,1465.108398,None,0,#NUM!
0000191_02,800,E07,321.2051086,None,0,#NUM!
0000191_02,700,E08,12902.83984,None,0,#NUM!
0000191_02,800,E08,12225.32813,None,0,#NUM!
0000191_02,700,E09,31074.64453,Background,0,#NUM!
0000191_02,800,E09,379.2810669,Background,0,#NUM!
0000191_02,700,E10,1568.312988,None,0,#NUM!
0000191_02,800,E10,665.0252075,None,0,#NUM!
0000191_02,700,E11,1504.059082,None,0,#NUM!
0000191_02,800,E11,332.4485168,None,0,#NUM!
0000191_02,700,E12,#NUM!,None,0,#NUM!
0000191_02,800,E12,#NUM!,None,0,#NUM!
0000191_02,700,F01,#NUM!,None,0,#NUM!
0000191_02,800,F01,#NUM!,None,0,#NUM!
0000191_02,700,F02,#NUM!,None,0,#NUM!
0000191_02,800,F02,#NUM!,None,0,#NUM!
0000191_02,700,F03,#NUM!,None,0,#NUM!
0000191_02,800,F03,#NUM!,None,0,#NUM!
0000191_02,700,F04,#NUM!,None,0,#NUM!
0000191_02,800,F04,#NUM!,None,0,#NUM!
0000191_02,700,F05,#NUM!,None,0,#NUM!
0000191_02,800,F05,#NUM!,None,0,#NUM!
0000191_02,700,F06,#NUM!,None,0,#NUM!
0000191_02,800,F06,#NUM!,None,0,#NUM!
0000191_02,700,F07,#NUM!,None,0,#NUM!
0000191_02,800,F07,#NUM!,None,0,#NUM!
0000191_02,700,F08,#NUM!,None,0,#NUM!
0000191_02,800,F08,#NUM!,None,0,#NUM!
0000191_02,700,F09,#NUM!,None,0,#NUM!
0000191_02,800,F09,#NUM!,None,0,#NUM!
0000191_02,700,F10,#NUM!,None,0,#NUM!
0000191_02,800,F10,#NUM!,None,0,#NUM!
0000191_02,700,F11,#NUM!,None,0,#NUM!
0000191_02,800,F11,#NUM!,None,0,#NUM!
0000191_02,700,F12,#NUM!,None,0,#NUM!
0000191_02,800,F12,#NUM!,None,0,#NUM!
0000191_02,700,G01,#NUM!,None,0,#NUM!
0000191_02,800,G01,#NUM!,None,0,#NUM!
0000191_02,700,G02,#NUM!,None,0,#NUM!
0000191_02,800,G02,#NUM!,None,0,#NUM!
0000191_02,700,G03,#NUM!,None,0,#NUM!
0000191_02,800,G03,#NUM!,None,0,#NUM!
0000191_02,700,G04,#NUM!,None,0,#NUM!
0000191_02,800,G04,#NUM!,None,0,#NUM!
0000191_02,700,G05,#NUM!,None,0,#NUM!
0000191_02,800,G05,#NUM!,None,0,#NUM!
0000191_02,700,G06,#NUM!,None,0,#NUM!
0000191_02,800,G06,#NUM!,None,0,#NUM!
0000191_02,700,G07,#NUM!,None,0,#NUM!
0000191_02,800,G07,#NUM!,None,0,#NUM!
0000191_02,700,G08,#NUM!,None,0,#NUM!
0000191_02,800,G08,#NUM!,None,0,#NUM!
0000191_02,700,G09,#NUM!,None,0,#NUM!
0000191_02,800,G09,#NUM!,None,0,#NUM!
0000191_02,700,G10,#NUM!,None,0,#NUM!
0000191_02,800,G10,#NUM!,None,0,#NUM!
0000191_02,700,G11,#NUM!,None,0,#NUM!
0000191_02,800,G11,#NUM!,None,0,#NUM!
0000191_02,700,G12,#NUM!,None,0,#NUM!
0000191_02,800,G12,#NUM!,None,0,#NUM!
0000191_02,700,H01,#NUM!,None,0,#NUM!
0000191_02,800,H01,#NUM!,None,0,#NUM!
0000191_02,700,H02,#NUM!,None,0,#NUM!
0000191_02,800,H02,#NUM!,None,0,#NUM!
0000191_02,700,H03,#NUM!,None,0,#NUM!
0000191_02,800,H03,#NUM!,None,0,#NUM!
0000191_02,700,H04,#NUM!,None,0,#NUM!
0000191_02,800,H04,#NUM!,None,0,#NUM!
0000191_02,700,H05,#NUM!,None,0,#NUM!
0000191_02,800,H05,#NUM!,None,0,#NUM!
0000191_02,700,H06,#NUM!,None,0,#NUM!
0000191_02,800,H06,#NUM!,None,0,#NUM!
0000191_02,700,H07,#NUM!,None,0,#NUM!
0000191_02,800,H07,#NUM!,None,0,#NUM!
0000191_02,700,H08,#NUM!,None,0,#NUM!
0000191_02,800,H08,#NUM!,None,0,#NUM!
0000191_02,700,H09,#NUM!,None,0,#NUM!
0000191_02,800,H09,#NUM!,None,0,#NUM!
0000191_02,700,H10,#NUM!,None,0,#NUM!
0000191_02,800,H10,#NUM!,None,0,#NUM!
0000191_02,700,H11,#NUM!,None,0,#NUM!
0000191_02,800,H11,#NUM!,None,0,#NUM!
0000191_02,700,H12,#NUM!,None,0,#NUM!
0000191_02,800,H12,#NUM!,None,0,#NUM!
